,Category,Collection Date,Chemical Compounds,Highest Level Detected,Range of Levels Detected,MCLG,MCL,Units,Likely Source of Contamination
0,Disinfection By Products,2021,Total Haloacetic Acids (HAA5),25.0,20.5 - 30.2,No Goal for total,60,ppb,By-product of drinking water disinfection.
1,Disinfection By Products,2021,Total Trihalomethanes (TTHM),32.0,22.3 - 38.4,No Goal for total,80,ppb,By-product of drinking water disinfection.
2,Disinfection By Products,2021,Bromate,69.2,5.27 - 69.2,5,10,ppb,By-product of drinking water ozonation.
3,Disinfection By Products,2022,Total Haloacetic Acids (HAA5),25.0,14.22 - 22.9,No Goal for total,60,ppb,By-product of drinking water disinfection.
4,Disinfection By Products,2022,Total Trihalomethanes (TTHM),36.0,23.3 - 48.7,No Goal for total,80,ppb,By-product of drinking water disinfection.
5,Disinfection By Products,2022,Bromate,4.9,4.9,5,10,ppb,By-product of drinking water ozonation.
6,Disinfection By Products,2023,Total Haloacetic Acids (HAA5),27.7,16 - 27.7,No Goal for total,60,ppb,By-product of drinking water disinfection.
7,Disinfection By Products,2023,Total Trihalomethanes (TTHM),51.1,24.9 - 51.1,No Goal for total,80,ppb,By-product of drinking water disinfection.
8,Disinfection By Products,2023,Bromate,0.0,0 - 0,5,10,ppb,By-product of drinking water ozonation.
9,Inorganic Contaminants,2021,Antimony,0.0,0,6.0,6,ppb,Discharge from petroleum refineries; fire retardants; ceramics; electronics; solder; and test addition.
10,Inorganic Contaminants,2021,Arsenic,0.0,0,0.0,10,ppb,Erosion of natural deposits; runoff from orchards; runoff from glass and electronics production wastes.
11,Inorganic Contaminants,2021,Barium,0.038,0.037 - 0.038,2.0,2,ppm,Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits.
12,Inorganic Contaminants,2021,Beryllium,0.0,0,4.0,4,ppb,"Discharge from metal refineries and coal-burning factories; discharge from electrical, aerospace, and defense industries"
